landcover_class;veg_height;lai_max;veg_fractional_cover;veg_height_width_ratio;veg_leaf_width;veg_inclination_distribution;is_herbaceous;igbp_classification
0;0;0;0;0;0;0;0;255
41;1.2;5;1;1;0.02;0.5;1;12
42;1.2;5;1;1;0.02;0.5;1;12
122;10;5;1;1;0.15;1;0;2
112;10;5;1;1;0.15;1;0;2
114;10;5;1;1;0.15;1;0;4
124;10;5;0.4;1;0.15;1;0;4
111;20;5;1;2;0.05;1;0;1
121;20;5;0.4;2;0.05;1;0;1
123;20;5;0.4;2;0.05;1;0;3
115;15;5;1;1.5;0.1;1;0;5
116;15;5;1;1.5;0.1;1;0;5
125;15;5;1;1.5;0.1;1;0;5
126;15;5;1;1.5;0.1;1;0;5
20;1.5;4;1;1;0.05;1;0;6
30;0.5;4;1;1;0.02;0.5;1;10
90;1;5;1;1;0.02;0.5;0;11
50;20;0;0;0;0;0;0;13
43;0;0;0;0;0;0;0;16
60;0;0;0;0;0;0;0;16
80;0;0;0;0;0;0;0;17
200;0;0;0;0;0;0;0;0
81;0;0;0;0;0;0;0;0
70;0;0;0;0;0;0;0;15
255;0;0;0;0;0;0;0;255
